tax_sp_level,nbe_occ_gbif,nbe_loc_gbif,list_continents_gbif
Rinorea dubia,6,2,
Premna bequaertii,5,2,
Premna congolensis,15,9,AFRICA
Rinorea afzelii,21,14,AFRICA
Amphimas pterocarpoides,67,32,AFRICA
Coelocaryon botryoides,71,23,AFRICA
Eugenia dewevrei,11,4,
Salacia germainii,14,7,AFRICA
Cola congolana,70,34,AFRICA
Cola bruneelii,79,22,
Olax wildemanii,18,11,AFRICA
Solanum giganteum,69,41,AFRICA
Solanum cyaneopurpureum,42,21,AFRICA
Leptonychia dewildei,6,3,
Cola mosserayana,1,1,
Cola vandersmisseniana,1,1,
Urochloa platynota,43,29,AFRICA
Crotalaria elisabethae,31,19,AFRICA
Thelypteris gueintziana,33,19,AFRICA
Amauropelta bergiana,83,49,AFRICA
Aeollanthus holstii,20,10,AFRICA
Macaranga longipetiolata,7,3,
Angraecopsis pusilla,2,1,
Uvariopsis congolana,33,16,AFRICA
Dichapetalum germainii,40,12,AFRICA
Cyperus kipasensis,20,9,AFRICA
Cynorkis clarae,4,2,
Disa katangensis,4,3,
Disperis katangensis,9,8,AFRICA
Dracaena poggei,58,24,"EUROPE, AFRICA"
Macaranga spinosa,118,55,AFRICA
Petersianthus macrocarpus,214,101,AFRICA
Thelypteris chaseana,15,11,AFRICA
Coelocaryon preussii,221,94,AFRICA
Anonidium mannii,151,56,AFRICA
Gloriosa superba,454,297,"OCEANIA, NORTH_AMERICA, AFRICA, ASIA"
Whitfieldia stuhlmannii,12,12,
Dalbergia laxiflora,58,20,AFRICA
Dalbergia afzeliana,58,32,AFRICA
Crotalaria vanderystii,6,3,AFRICA
Crotalaria subcapitata,49,41,AFRICA
Crotalaria sertulifera,7,5,AFRICA
Crotalaria recta,67,37,AFRICA
Crotalaria quangensis,31,17,AFRICA
Crotalaria mesopontica,79,46,AFRICA
Crotalaria leptoclada,44,20,AFRICA
Whitfieldia thollonii,28,19,AFRICA
Asystasia leptostachya,82,58,AFRICA
Dolichos subcapitatus,10,7,AFRICA
Dolichos pseudocajanus,36,16,AFRICA
Desmodium salicifolium,253,150,AFRICA
Humularia meyeri-johannis,16,9,AFRICA
Humularia kassneri,20,13,AFRICA
Humularia apiculata,6,5,AFRICA
Humularia bequaertii,20,9,AFRICA
Erythrina orophila,21,9,AFRICA
Eriosema verdickii,20,9,AFRICA
Eriosema tisserantii,13,8,
Eriosema tephrosioides,6,4,
Eriosema montanum,102,58,AFRICA
Eriosema erici-rosenii,49,37,AFRICA
Droogmansia munamensis,31,11,
Thunbergia rogersii,17,7,
Millettia limbutuensis,37,9,AFRICA
Millettia exauriculata,15,7,
Millettia eetveldeana,196,81,AFRICA
Indigofera repens,15,6,AFRICA
Kotschya strobilantha,22,16,AFRICA
Barleria grandicalyx,18,12,AFRICA
Barleria oenotheroides,168,81,"SOUTH_AMERICA, AFRICA"
Schefflerodendron gilbertianum,11,5,AFRICA
Sesbania cinerascens,13,9,AFRICA
Rhynchosia luteola,56,28,AFRICA
Ophrestia radicosa,38,26,AFRICA
Oncoba bukobensis,166,89,AFRICA
Oncoba cuneato-acuminata,16,11,
Oncoba subtomentosa,78,31,AFRICA
Vigna dolomitica,12,2,AFRICA
Teramnus micans,41,27,AFRICA
Tephrosia verdickii,14,9,
Tephrosia ringoetii,9,6,
Tephrosia manikensis,38,18,AFRICA
Tephrosia kindu,8,6,AFRICA
Phyllobotryon maikoense,2,1,AFRICA
Phyllobotryon paradoxum,28,18,AFRICA
Poggea longepedunculata,7,6,AFRICA
Blepharis maderaspatensis,121,82,AFRICA
Faroa acaulis,28,24,
Faroa acuminata,8,6,
Faroa affinis,13,7,AFRICA
Faroa graveolens,34,17,AFRICA
Faroa malaissei,23,4,AFRICA
Swertia adolfi-friderici,22,13,AFRICA
Swertia macrosepala,57,8,AFRICA
Allanblackia marienii,16,12,
Harungana montana,15,11,AFRICA
Hypericum humbertii,38,18,AFRICA
Lebrunia bushaie,35,19,AFRICA
Pentadesma grandifolia,16,11,AFRICA
Psorospermum mechowii,32,21,AFRICA
Vismia affinis,45,15,AFRICA
Laurembergia tetrandra,36,29,"SOUTH_AMERICA, AFRICA"
Salacia bangalensis,29,9,AFRICA
Salacia longipes,179,59,AFRICA
Salacia rivularis,29,7,AFRICA
Pyrenacantha puberula,31,9,AFRICA
Pyrenacantha staudtii,70,22,AFRICA
