"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Acridocarpus glaucescens",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acridocarpus katangensis",173685,84,21,NA,"16","3","LC or NT","LC or NT B1a+B2a","36.4","LC or NT","LC or NT"
"Acridocarpus longifolius",1888800,484,125,NA,"84","8","LC or NT","LC or NT B1a+B2a","18.1","LC or NT","LC or NT"
"Acridocarpus longifolius wa",155077,36,9,NA,"8","4","VU","VU B2a","44.4","VU","LC or NT"
"Acridocarpus macrocalyx",2193861,168,42,NA,"38","3","LC or NT","LC or NT B1a+B2a","8.7","LC or NT","LC or NT"
"Acridocarpus mayumbensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acridocarpus monodii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acridocarpus natalitius",44807,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Acridocarpus pauciglandulosus",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Acridocarpus plagiopterus",591795,288,74,NA,"64","12","LC or NT","LC or NT B1a+B2a","19.5","LC or NT","LC or NT"
"Acridocarpus smeathmannii",4326237,360,91,NA,"76","11","LC or NT","LC or NT B1a+B2a","24.3","LC or NT","LC or NT"
"Acridocarpus spectabilis",277375,28,7,NA,"7","1","VU","VU B2a","25","VU","LC or NT"
"Acridocarpus staudtii",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Acridocarpus ugandensis",351,16,5,NA,"3","1","EN","EN B1a+B2a","20","EN","EN"
"Acridocarpus vestitus",104,16,5,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Acridocarpus zanzibaricus",212349,160,40,NA,"34","4","LC or NT","LC or NT B1a+B2a","10.9","LC or NT","LC or NT"
"Acritochaete volkensii",2106539,40,11,NA,"8","2","VU","VU B2a","53.8","VU","LC or NT"
"Acroceras amplectens",7389630,312,80,NA,"72","12","LC or NT","LC or NT B1a+B2a","23.3","LC or NT","LC or NT"
"Acroceras attenuatum",8978,28,7,NA,"7","2","VU","VU B1a+B2a","28.6","VU","VU"
"Acroceras gabunense",4378607,296,75,NA,"71","8","LC or NT","LC or NT B1a+B2a","9.4","LC or NT","LC or NT"
"Acroceras macrum",4811931,76,19,NA,"18","1","LC or NT","LC or NT B1a+B2a","5.3","LC or NT","LC or NT"
"Acroceras zizanioides",7517813,780,201,NA,"178","13","LC or NT","LC or NT B1a+B2a","10.4","LC or NT","LC or NT"
"Acrosanthes teretifolia",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acrostichum aureum",11390532,212,54,NA,"51","4","LC or NT","LC or NT B1a+B2a","5.7","LC or NT","LC or NT"
"Acrotome angustifolia",153751,12,3,NA,"3","1","EN","EN B2a","25","EN","LC or NT"
"Acrotome fleckii",43684,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Acrotome hispida",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acrotome inflata",287029,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Acrotome pallescens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Acrotome tenuis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Actephila africana",229100,276,72,NA,"55","3","LC or NT","LC or NT B1a+B2a","6.9","LC or NT","LC or NT"
"Actinanthella menyharthii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Actiniopteris dimorpha",3892080,364,93,NA,"83","10","LC or NT","LC or NT B1a+B2a","16.7","LC or NT","LC or NT"
"Actiniopteris kornasii",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Actiniopteris pauciloba",1198521,92,23,NA,"23","3","LC or NT","LC or NT B1a+B2a","11.5","LC or NT","LC or NT"
"Actiniopteris radiata",12535113,556,141,NA,"137","19","LC or NT","LC or NT B1a+B2a","16.7","LC or NT","LC or NT"
"Actiniopteris semiflabellata",10591589,548,139,NA,"124","19","LC or NT","LC or NT B1a+B2a","17.4","LC or NT","LC or NT"
"Actinoschoenus filiformis",19882,60,18,NA,"14","1","LC or NT","LC or NT B1a+B2a","12","LC or NT","LC or NT"
"Adansonia digitata",18898523,316,82,NA,"79","5","LC or NT","LC or NT B1a+B2a","5.5","LC or NT","LC or NT"
"Adelostigma senegalense",93215,44,12,NA,"10","1","VU","VU B2a","7.7","VU","LC or NT"
"Adenandra acuta",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenandra marginata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenandra uniflora",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenandra villosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia aculeata",415225,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Adenia ballyi",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia bequaertii",2066855,80,20,NA,"19","5","LC or NT","LC or NT B1a+B2a","31.8","LC or NT","LC or NT"
"Adenia cissampeloides",11019715,816,211,NA,"180","26","LC or NT","LC or NT B1a+B2a","21.5","LC or NT","LC or NT"
"Adenia cynanchifolia",1316514,124,32,NA,"29","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Adenia digitata",1329864,64,16,NA,"15","3","LC or NT","LC or NT B1a+B2a","17.6","LC or NT","LC or NT"
"Adenia dinklagei",282085,72,18,NA,"16","4","LC or NT","LC or NT B1a+B2a","26.3","LC or NT","LC or NT"
"Adenia dolichosiphon",257334,36,9,NA,"9","1","VU","VU B2a","10","VU","LC or NT"
"Adenia ellenbeckii",24135,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Adenia erecta",366,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Adenia gedoensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia globosa",158856,108,28,NA,"27","5","LC or NT","LC or NT B1a+B2a","17.2","LC or NT","LC or NT"
"Adenia goetzei",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Adenia gracilis",3898180,276,69,NA,"64","5","LC or NT","LC or NT B1a+B2a","12.2","LC or NT","LC or NT"
"Adenia gummifera",3331556,136,34,NA,"32","8","LC or NT","LC or NT B1a+B2a","26.5","LC or NT","LC or NT"
"Adenia hastata",4878,24,6,NA,"6","1","VU","VU B1a+B2a","16.7","VU","VU"
"Adenia huillensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia inermis",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Adenia karibaensis",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Adenia keramanthus",117293,64,16,NA,"16","2","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Adenia kigogoensis",41,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Adenia kirkii",618724,108,27,NA,"24","5","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Adenia lanceolata",84063,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Adenia latepetala",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia lewallei",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia lindiensis",220801,96,24,NA,"23","8","LC or NT","LC or NT B1a+B2a","40.7","LC or NT","LC or NT"
"Adenia lobata",7306572,584,149,NA,"135","23","LC or NT","LC or NT B1a+B2a","25.6","LC or NT","LC or NT"
"Adenia mannii",2144496,368,96,NA,"80","14","LC or NT","LC or NT B1a+B2a","22.2","LC or NT","LC or NT"
"Adenia metriosiphon",3981,24,6,NA,"5","0","EN","EN B1a+B2a","0","EN","EN"
"Adenia ovata",2142,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Adenia panduriformis",NA,8,2,NA,"2","2","LC or NT","LC or NT B2a","100","LC or NT",NA
"Adenia poggei",990932,124,32,NA,"28","3","LC or NT","LC or NT B1a+B2a","13.2","LC or NT","LC or NT"
"Adenia pulchra",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Adenia racemosa",22695,24,7,NA,"6","2","VU","VU B2a","28.6","VU","LC or NT"
"Adenia repanda",74016,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Adenia reticulata",2273652,128,32,NA,"27","5","LC or NT","LC or NT B1a+B2a","15.8","LC or NT","LC or NT"
"Adenia rumicifolia",11435778,372,94,NA,"88","17","LC or NT","LC or NT B1a+B2a","22.1","LC or NT","LC or NT"
"Adenia schliebenii",5683,16,4,NA,"4","2","EN","EN B2a","50","EN","VU"
"Adenia schweinfurthii",1164067,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Adenia spinosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia staudtii",1558696,72,19,NA,"18","1","LC or NT","LC or NT B1a+B2a","10","LC or NT","LC or NT"
"Adenia stenodactyla",456419,32,8,NA,"8","1","VU","VU B2a","22.2","VU","LC or NT"
"Adenia stenophylla",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia stolzii",78043,24,6,NA,"5","1","EN","EN B2a","11.1","EN","LC or NT"
"Adenia tricostata",269598,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Adenia tuberifera",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia venenata",1124155,64,17,NA,"15","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Adenia volkensii",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Adenia welwitschii",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Adenia wightiana",132506,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Adenia wilmsii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenia zambesiensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenium boehmianum",287450,64,17,NA,"17","4","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Adenium multiflorum",438215,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Adenium obesum",11493230,176,45,NA,"44","3","LC or NT","LC or NT B1a+B2a","6.7","LC or NT","LC or NT"
"Adenium oleifolium",12117,16,4,NA,"4","0","EN","EN B2a","0","EN","VU"
"Adenium swazicum",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Adenocarpus mannii",6739097,160,44,NA,"29","8","LC or NT","LC or NT B1a+B2a","48.5","LC or NT","LC or NT"
"Adenocline acuta",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenocline zeyheri",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenodolichos baumii",29396,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Adenodolichos bequaertii",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Adenodolichos brevipetiolatus",586,12,3,NA,"3","1","EN","EN B1a+B2a","40","EN","EN"
"Adenodolichos exellii",73093,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Adenodolichos grandifoliolatus",22091,24,6,NA,"5","2","EN","EN B2a","55.6","EN","LC or NT"
"Adenodolichos harmsianus",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Adenodolichos huillensis",42428,28,7,NA,"7","2","VU","VU B2a","27.3","VU","LC or NT"
"Adenodolichos kaessneri",76246,40,11,NA,"10","1","VU","VU B2a","9.1","VU","LC or NT"
"Adenodolichos katangensis",51206,20,5,NA,"5","1","EN","EN B2a","16.7","EN","LC or NT"
"Adenodolichos oblongifoliolatus",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Adenodolichos paniculatus",1527773,124,31,NA,"31","3","LC or NT","LC or NT B1a+B2a","9.7","LC or NT","LC or NT"
"Adenodolichos punctatus",1410273,172,43,NA,"41","4","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Adenodolichos rhomboideus",658928,104,27,NA,"24","1","LC or NT","LC or NT B1a+B2a","2.8","LC or NT","LC or NT"
"Adenodolichos rupestris",1208,16,4,NA,"4","4","LC or NT","EN B1a+B2a","100","EN","EN"
"Adenodolichos salviifoliolatus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenogramma sylvatica",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adenolobus garipensis",361687,32,8,NA,"8","3","VU","VU B2a","37.5","VU","LC or NT"
"Adenolobus pechuelii",171207,60,15,NA,"14","6","LC or NT","LC or NT B1a+B2a","50","LC or NT","LC or NT"
"Adenopodia rotundifolia",1372,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Adenopodia scelerata",3345738,144,37,NA,"33","9","LC or NT","LC or NT B1a+B2a","40.5","LC or NT","LC or NT"
"Adenopodia schlechteri",3679,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Adenopodia spicata",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Adenorandia kalbreyeri",1368368,96,25,NA,"22","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Adenostemma caffrum",8888466,180,46,NA,"43","4","LC or NT","LC or NT B1a+B2a","11.8","LC or NT","LC or NT"
"Adenostemma mauritianum",7756891,196,51,NA,"44","14","LC or NT","LC or NT B1a+B2a","38.1","LC or NT","LC or NT"
"Adenostemma perrottetii",8970931,340,86,NA,"76","13","LC or NT","LC or NT B1a+B2a","22.6","LC or NT","LC or NT"
"Adenostemma viscosum",5880461,92,23,NA,"21","6","LC or NT","LC or NT B1a+B2a","29.2","LC or NT","LC or NT"
"Adhatoda bolomboensis",1700398,240,62,NA,"54","6","LC or NT","LC or NT B1a+B2a","27.9","LC or NT","LC or NT"
"Adhatoda buchholzii",1373069,232,62,NA,"50","5","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Adhatoda camerunensis",41999,20,5,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Adhatoda le-testui",20081,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Adhatoda maculata",883599,72,18,NA,"16","1","LC or NT","LC or NT B1a+B2a","5","LC or NT","LC or NT"
"Adhatoda schimperiana",3340477,88,22,NA,"21","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Adhatoda tristis",149885,144,39,NA,"31","4","LC or NT","LC or NT B1a+B2a","17.1","LC or NT","LC or NT"
"Adiantum balfourii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adiantum capillus-veneris",24765421,512,134,NA,"109","18","LC or NT","LC or NT B1a+B2a","22","LC or NT","LC or NT"
"Adiantum caudatum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adiantum comorense",235496,60,15,NA,"12","3","LC or NT","LC or NT B1a+B2a","31.6","LC or NT","LC or NT"
"Adiantum confine",579934,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Adiantum hispidulum",1668802,92,23,NA,"20","5","LC or NT","LC or NT B1a+B2a","29.6","LC or NT","LC or NT"
"Adiantum incisum",6696355,492,124,NA,"117","18","LC or NT","LC or NT B1a+B2a","14.7","LC or NT","LC or NT"
"Adiantum mendoncae",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Adiantum mettenii",1207224,20,5,NA,"5","2","EN","EN B2a","33.3","EN","LC or NT"
"Adiantum patens",3352913,240,63,NA,"56","6","LC or NT","LC or NT B1a+B2a","16.7","LC or NT","LC or NT"
"Adiantum philippense",12937473,996,261,NA,"199","20","LC or NT","LC or NT B1a+B2a","12.2","LC or NT","LC or NT"
"Adiantum poiretii",7488002,784,199,NA,"158","37","LC or NT","LC or NT B1a+B2a","32.4","LC or NT","LC or NT"
"Adiantum raddianum",4289737,84,22,NA,"19","4","LC or NT","LC or NT B1a+B2a","37.5","LC or NT","LC or NT"
"Adiantum rhizophorum",206398,32,8,NA,"7","1","VU","VU B2a","12.5","VU","LC or NT"
"Adiantum schweinfurthii",1293892,20,5,NA,"5","2","EN","EN B2a","40","EN","LC or NT"
"Adiantum soboliferum",2250905,36,9,NA,"9","4","VU","VU B2a","44.4","VU","LC or NT"
"Adiantum tetraphyllum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adiantum vogelii",4898531,464,118,NA,"110","17","LC or NT","LC or NT B1a+B2a","19.9","LC or NT","LC or NT"
"Adromischus caryophyllaceus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Adromischus filicaulis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aedesia glabra",3362796,236,59,NA,"54","11","LC or NT","LC or NT B1a+B2a","25.4","LC or NT","LC or NT"
"Aedesia spectabilis",488231,32,8,NA,"8","3","VU","VU B2a","37.5","VU","LC or NT"
"Aeglopsis chevalieri",1103588,64,17,NA,"14","4","LC or NT","LC or NT B1a+B2a","50","LC or NT","LC or NT"
"Aeglopsis eggelingii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aeluropus lagopoides",132454,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Aeolanthus pubescens",60198,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Aeolanthus repens",495484,52,13,NA,"13","1","LC or NT","LC or NT B1a+B2a","7.7","LC or NT","LC or NT"
"Aeollanthus abyssinicus",54943,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Aeollanthus alternatus",8640,16,4,NA,"4","1","EN","EN B2a","25","EN","VU"
"Aeollanthus ambustus",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Aeollanthus angustifolius",120067,44,13,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Aeollanthus breviflorus",48298,28,7,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Aeollanthus buchnerianus",78950,32,8,NA,"5","1","EN","EN B2a","12.5","EN","LC or NT"
"Aeollanthus caudatus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aeollanthus cucullatus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aeollanthus densiflorus",180653,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Aeollanthus elsholzioides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aeollanthus engleri",2225157,52,13,NA,"13","1","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Aeollanthus fruticosus",1640,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Aeollanthus holstii",629906,64,17,NA,"16","5","LC or NT","LC or NT B1a+B2a","38.9","LC or NT","LC or NT"
"Aeollanthus homblei",31980,60,15,NA,"14","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Aeollanthus lobatus",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Aeollanthus myrianthus",2427181,64,17,NA,"15","1","LC or NT","LC or NT B1a+B2a","5.6","LC or NT","LC or NT"
"Aeollanthus neglectus",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Aeollanthus pinnatifidus",2820,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Aeollanthus pubescens",4379774,224,57,NA,"50","6","LC or NT","LC or NT B1a+B2a","23.8","LC or NT","LC or NT"
"Aeollanthus rehmannii",578448,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Aeollanthus repens",1267218,76,19,NA,"19","4","LC or NT","LC or NT B1a+B2a","21.1","LC or NT","LC or NT"
"Aeollanthus rivularis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Aeollanthus saxatilis",327,16,5,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Aeollanthus sedoides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aeollanthus serpiculoides",49131,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Aeollanthus stuhlmannii",30291,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Aeollanthus suaveolens",3384755,80,20,NA,"20","1","LC or NT","LC or NT B1a+B2a","4","LC or NT","LC or NT"
"Aeollanthus subacaulis",3609781,180,48,NA,"38","4","LC or NT","LC or NT B1a+B2a","9.9","LC or NT","LC or NT"
"Aeollanthus subintegrus",75272,20,5,NA,"5","1","EN","EN B2a","25","EN","LC or NT"
"Aeollanthus trifidus",702,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Aeollanthus ukamensis",1392,12,3,NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Aeollanthus zanzibaricus",65749,60,15,NA,"15","3","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Aeonium leucoblepharum",10174,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Aerangis alcicornis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aerangis appendiculata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aerangis arachnopus",356249,52,13,NA,"13","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Aerangis biloba",2044367,84,21,NA,"20","4","LC or NT","LC or NT B1a+B2a","29.2","LC or NT","LC or NT"
"Aerangis brachycarpa",1444861,160,40,NA,"38","8","LC or NT","LC or NT B1a+B2a","18.2","LC or NT","LC or NT"
"Aerangis calantha",2742598,60,16,NA,"14","2","LC or NT","LC or NT B1a+B2a","10","LC or NT","LC or NT"
"Aerangis carnea",14123,36,9,NA,"9","4","VU","VU B1a+B2a","54.5","VU","VU"
"Aerangis collum-cygni",1791121,36,9,NA,"9","1","VU","VU B2a","11.1","VU","LC or NT"
"Aerangis confusa",105048,40,10,NA,"10","2","VU","VU B2a","18.2","VU","LC or NT"
"Aerangis coriacea",20270,24,6,NA,"6","3","VU","VU B2a","42.9","VU","LC or NT"
"Aerangis distincta",5018,20,5,NA,"3","1","EN","EN B2a","40","EN","VU"
"Aerangis flexuosa",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Aerangis gracillima",211508,80,20,NA,"18","2","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Aerangis gravenreuthii",3133,20,5,NA,"4","1","EN","EN B1a+B2a","20","EN","EN"
"Aerangis hologlottis",8867,16,4,NA,"4","2","EN","EN B2a","50","EN","VU"
"Aerangis jacksonii",599,12,3,NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Aerangis kirkii",334719,20,5,NA,"5","2","EN","EN B2a","40","EN","LC or NT"
"Aerangis kotschyana",2301499,68,17,NA,"16","4","LC or NT","LC or NT B1a+B2a","19","LC or NT","LC or NT"
"Aerangis luteoalba",3008360,96,25,NA,"21","3","LC or NT","LC or NT B1a+B2a","41.2","LC or NT","LC or NT"
"Aerangis megaphylla",8,8,3,NA,"2","1","EN","EN B1a+B2a","16.7","EN","EN"
"Aerangis montana",154,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Aerangis mystacidii",388369,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Aerangis oligantha",781,24,6,NA,"4","1","EN","EN B1a+B2a","28.6","EN","EN"
"Aerangis somalensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aerangis splendida",25245,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Aerangis stelligera",1703596,48,12,NA,"11","2","LC or NT","LC or NT B1a+B2a","40","LC or NT","LC or NT"
"Aerangis thomsonii",393014,112,28,NA,"27","8","LC or NT","LC or NT B1a+B2a","35.3","LC or NT","LC or NT"
"Aerangis ugandensis",258569,60,15,NA,"14","1","LC or NT","LC or NT B1a+B2a","5.9","LC or NT","LC or NT"
"Aerangis verdickii",169656,40,10,NA,"8","2","VU","VU B2a","15.4","VU","LC or NT"
"Aerva javanica",21913585,172,43,NA,"38","2","LC or NT","LC or NT B1a+B2a","9.3","LC or NT","LC or NT"
"Aerva lanata",11831737,448,114,NA,"106","15","LC or NT","LC or NT B1a+B2a","17.8","LC or NT","LC or NT"
"Aerva leucura",4070823,84,21,NA,"21","4","LC or NT","LC or NT B1a+B2a","19","LC or NT","LC or NT"
"Aeschynomene abyssinica",6338191,208,52,NA,"48","5","LC or NT","LC or NT B1a+B2a","11.5","LC or NT","LC or NT"
"Aeschynomene afraspera",7108606,124,31,NA,"29","5","LC or NT","LC or NT B1a+B2a","27.8","LC or NT","LC or NT"
"Aeschynomene angolensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Aeschynomene aphylla",47,16,4,NA,"2","1","EN","EN B1a+B2a","40","EN","EN"
"Aeschynomene baumii",2367352,96,25,NA,"22","3","LC or NT","LC or NT B1a+B2a","12","LC or NT","LC or NT"
"Aeschynomene bella",262,16,4,NA,"3","1","EN","EN B1a+B2a","50","EN","EN"
"Aeschynomene benguellensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aeschynomene bracteosa",702530,64,16,NA,"16","3","LC or NT","LC or NT B1a+B2a","22.2","LC or NT","LC or NT"
"Aeschynomene bullockii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Aeschynomene burttii",3099,32,8,NA,"6","3","VU","VU B1a+B2a","55.6","VU","VU"
"Aeschynomene chimanimaniensis",440,12,3,NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Aeschynomene crassicaulis",1111941,56,14,NA,"12","3","LC or NT","LC or NT B1a+B2a","35.7","LC or NT","LC or NT"
"Aeschynomene cristata",7978708,140,37,NA,"33","3","LC or NT","LC or NT B1a+B2a","7.5","LC or NT","LC or NT"
"Aeschynomene debilis",541,16,4,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Aeschynomene deightonii",420,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Aeschynomene dimidiata",262680,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Aeschynomene elaphroxylon",7956018,60,16,NA,"14","2","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Aeschynomene falcata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Aeschynomene fluitans",2140520,68,17,NA,"17","3","LC or NT","LC or NT B1a+B2a","15.8","LC or NT","LC or NT"
"Aeschynomene fulgida",331484,80,20,NA,"19","1","LC or NT","LC or NT B1a+B2a","13.6","LC or NT","LC or NT"
"Aeschynomene gazensis",5566,32,9,NA,"5","2","EN","EN B2a","36.4","EN","VU"
"Aeschynomene glabrescens",3876,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
